RangeFrequency,Chuan WIFI,MCS,Power_Transmit,PER
2G,802.11b,0,-97,10%
2G,802.11b,1,-,10%
2G,802.11b,2,-,10%
2G,802.11b,3,-89,10%
2G,802.11g,0,-94,10%
2G,802.11g,1,-,10%
2G,802.11g,2,-,10%
2G,802.11g,3,-,10%
2G,802.11g,4,-,10%
2G,802.11g,5,-,10%
2G,802.11g,6,-,10%
2G,802.11g,7,-76.5,10%
2G,802.11nHT20,0,-93.5,10%
2G,802.11nHT20,1,-,10%
2G,802.11nHT20,2,-,10%
2G,802.11nHT20,3,-,10%
2G,802.11nHT20,4,-,10%
2G,802.11nHT20,5,-,10%
2G,802.11nHT20,6,-,10%
2G,802.11nHT20,7,-74,10%
2G,802.11nHT40,0,-90,10%
2G,802.11nHT40,1,-,10%
2G,802.11nHT40,2,-,10%
2G,802.11nHT40,3,-,10%
2G,802.11nHT40,4,-,10%
2G,802.11nHT40,5,-,10%
2G,802.11nHT40,6,-,10%
2G,802.11nHT40,7,-71,10%
5G,802.11g,0,-93,10%
5G,802.11g,1,-,10%
5G,802.11g,2,-,10%
5G,802.11g,3,-,10%
5G,802.11g,4,-,10%
5G,802.11g,5,-,10%
5G,802.11g,6,-,10%
5G,802.11g,7,-75,10%
5G,802.11nHT20,0,-92.5,10%
5G,802.11nHT20,1,-,10%
5G,802.11nHT20,2,-,10%
5G,802.11nHT20,3,-,10%
5G,802.11nHT20,4,-,10%
5G,802.11nHT20,5,-,10%
5G,802.11nHT20,6,-,10%
5G,802.11nHT20,7,-73,10%
5G,802.11nHT40,0,-89,10%
5G,802.11nHT40,1,-,10%
5G,802.11nHT40,2,-,10%
5G,802.11nHT40,3,-,10%
5G,802.11nHT40,4,-,10%
5G,802.11nHT40,5,-,10%
5G,802.11nHT40,6,-,10%
5G,802.11nHT40,7,-70,10%
5G,802.11acHT20,0,-92.5,10%
5G,802.11acHT20,1,-,10%
5G,802.11acHT20,2,-,10%
5G,802.11acHT20,3,-,10%
5G,802.11acHT20,4,-,10%
5G,802.11acHT20,5,-,10%
5G,802.11acHT20,6,-,10%
5G,802.11acHT20,7,-,10%
5G,802.11acHT20,8,-68.5,10%
5G,802.11acHT20,9,-,10%
5G,802.11acHT40,0,-89,10%
5G,802.11acHT40,1,-,10%
5G,802.11acHT40,2,-,10%
5G,802.11acHT40,3,-,10%
5G,802.11acHT40,4,-,10%
5G,802.11acHT40,5,-,10%
5G,802.11acHT40,6,-,10%
5G,802.11acHT40,7,-,10%
5G,802.11acHT40,8,-,10%
5G,802.11acHT40,9,-64,10%
5G,802.11acHT80,0,-86,10%
5G,802.11acHT80,1,-,10%
5G,802.11acHT80,2,-,10%
5G,802.11acHT80,3,-,10%
5G,802.11acHT80,4,-,10%
5G,802.11acHT80,5,-,10%
5G,802.11acHT80,6,-,10%
5G,802.11acHT80,7,-,10%
5G,802.11acHT80,8,-,10%
5G,802.11acHT80,9,-60.5,10%
5G,802.11acHT160,0,-,10%
5G,802.11acHT160,1,-,10%
5G,802.11acHT160,2,-,10%
5G,802.11acHT160,3,-,10%
5G,802.11acHT160,4,-,10%
5G,802.11acHT160,5,-,10%
5G,802.11acHT160,6,-,10%
5G,802.11acHT160,7,-,10%
5G,802.11acHT160,8,-,10%
5G,802.11acHT160,9,-,10%
