Stt,CarrierFreq,Anten,ChannelFreq,Register,CalibFlag,Ref
2,2G,1,2447,0x5A,1,
1,2G,1,2422,0x59,1,
3,2G,1,2472,0x5B,1,
5,2G,2,2447,0x60,1,
4,2G,2,2422,0x5F,1,
6,2G,2,2472,0x61,1,
9,5G,1,5180,0x148,1,
10,5G,1,5240,0x149,1,
11,5G,1,5260,0x14D,1,
12,5G,1,5320,0x14E,1,
13,5G,1,5500,0x157,1,
14,5G,1,5580,0x158,1,
15,5G,1,5600,0x15C,1,
16,5G,1,5680,0x15D,1,
17,5G,1,5700,0x161,1,
18,5G,1,5785,0x162,1,
19,5G,1,5805,0x166,1,
20,5G,1,5825,0x167,1,
23,5G,2,5180,0x170,1,
24,5G,2,5240,0x171,1,
25,5G,2,5260,0x175,1,
26,5G,2,5320,0x176,1,
27,5G,2,5500,0x17F,1,
28,5G,2,5580,0x180,1,
29,5G,2,5600,0x184,1,
30,5G,2,5680,0x185,1,
31,5G,2,5700,0x189,1,
32,5G,2,5785,0x18A,1,
33,5G,2,5805,0x18E,1,
34,5G,2,5825,0x18F,1,
